year,party,winner,pv2p,last_pv2p,incumbent,incumbent_party
1952,democrat,FALSE,44.71055631,52.31764025,FALSE,TRUE
1952,republican,TRUE,55.28944369,47.68235975,FALSE,FALSE
1956,democrat,FALSE,42.23566032,44.71055631,FALSE,FALSE
1956,republican,TRUE,57.76433968,55.28944369,TRUE,TRUE
1960,republican,FALSE,49.91324051,57.76433968,FALSE,TRUE
1960,democrat,TRUE,50.08675949,42.23566032,FALSE,FALSE
1964,republican,FALSE,38.65603216,49.91324051,FALSE,FALSE
1964,democrat,TRUE,61.34396784,50.08675949,TRUE,TRUE
1968,republican,TRUE,50.40462161,38.65603216,FALSE,FALSE
1968,democrat,FALSE,49.59537839,61.34396784,FALSE,TRUE
1972,republican,TRUE,61.78900883,50.40462161,TRUE,TRUE
1972,democrat,FALSE,38.21099117,49.59537839,FALSE,FALSE
1976,democrat,TRUE,51.13734917,38.21099117,FALSE,FALSE
1976,republican,FALSE,48.86265083,61.78900883,TRUE,TRUE
1980,democrat,FALSE,44.84244123,51.13734917,TRUE,TRUE
1980,republican,TRUE,55.15755877,48.86265083,FALSE,FALSE
1984,democrat,FALSE,40.87664881,44.84244123,FALSE,FALSE
1984,republican,TRUE,59.12335119,55.15755877,TRUE,TRUE
1988,democrat,FALSE,46.16754471,40.87664881,FALSE,FALSE
1988,republican,TRUE,53.83245529,59.12335119,FALSE,TRUE
1992,democrat,TRUE,53.62069584,46.16754471,FALSE,FALSE
1992,republican,FALSE,46.37930416,53.83245529,TRUE,TRUE
1996,democrat,TRUE,54.80402403,53.62069584,TRUE,TRUE
1996,republican,FALSE,45.19597597,46.37930416,FALSE,FALSE
2000,democrat,FALSE,50.25952345,54.80402403,FALSE,TRUE
2000,republican,TRUE,49.74047655,45.19597597,FALSE,FALSE
2004,democrat,FALSE,48.73068404,50.25952345,FALSE,FALSE
2004,republican,TRUE,51.26931596,49.74047655,TRUE,TRUE
2008,democrat,TRUE,53.77076728,48.73068404,FALSE,FALSE
2008,republican,FALSE,46.22923272,51.26931596,FALSE,TRUE
2012,democrat,TRUE,51.91525804,53.77076728,TRUE,TRUE
2012,republican,FALSE,48.08474196,46.22923272,FALSE,FALSE
2016,democrat,FALSE,51.16249044,51.91525804,FALSE,TRUE
2016,republican,TRUE,48.83750956,48.08474196,FALSE,FALSE
